name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-0.004686213869576795,0.33006228604848387,96730740.0,0.0,1733073738.0,0.0,None,None,None,None,None,None,0.22697832858876327,0.47642242662238654,0.5475815838145274,0.0,0.5,0.0,0.9255787037037037,0.0,1331.5101370625343,2.5962791510693233e-289,-0.0014002758730364837,0.7710256251743272,19.80367048134621,4.323253949268682e-87,19.803355754635508,6.776792910717103e-87
mati-sim 100k_original_params_cube,0.9021958862189755,0.0,137562933.0,8.239458912889744e-219,816569562.5,1.38232370482254e-250,None,None,None,None,None,None,0.015690479657356895,0.1252616447974275,0.5,0.0,0.5,0.0,0.20337962962962958,0.0,0.02602083937695012,0.8718498120245695,0.9646903762458442,0.0,-0.1615645766087622,0.871649132305138,-0.8597146381459687,0.38995113445726526
mati-sim 10k_original_params_cube,0.803647200792257,0.0,112680433.0,0.0,714261934.0,0.0,None,None,None,None,None,None,0.02555121564851595,0.15984747620314796,0.5,0.0,0.5,0.0,0.3230324074074074,0.0,0.2119734819522587,0.6452261456474668,0.9419956127476307,0.0,-0.46066084686854447,0.645043109030231,-1.9121501525085052,0.055863544785931786
mati-sim 10mln_original_params_cube,0.9898436178127645,0.0,32411.0,0.40112840521425874,933383404.5,0.9410034637297535,None,None,None,None,None,None,0.0051351402311061835,0.07165989276510386,0.5,0.0,0.5,0.0,0.0005092592592592649,1.0,0.013934785432118757,0.9060317283105465,0.9885197366361039,0.0,0.11804594456466927,0.9060315282700111,1.1013706889903605,0.2707414933911324
mati-sim 1mln_original_params_cube,0.9553349255712634,0.0,166643786.0,1.444685282607637e-17,886194276.0,9.83522378059701e-41,None,None,None,None,None,None,0.003920798932278586,0.06261628328381193,0.5,0.0,0.5,0.0,0.09932870370370372,5.772224927038574e-186,3.377065172512778e-05,0.9953633309003043,0.9911778309352215,0.0,0.005590948555139027,0.9955391046162634,0.059524249888972494,0.9525348264376308
