Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,5738.194859533774,0.13282858471142997,0.002722824962684278,0.9050429603809589,0.01568499984826177,1.1604896581209872e-09,0.01140534678514371,2.6094056645187897e-05,0.07954567750276115,3.285372142998865e-238,0.03066489520372495,1.0015967460717032e-35,0.0006075323297499004,-0.03627186039713015,0.1089796930099978,0.1289618921077687,0.1328379657290093,0.13671895936074335,0.15585234318313576,0.005757739015120208,3.315155856623742e-05,0.0,100.0,100000000,43200,0
mc456_mc_100k_my_params_cube,13211.123936839958,0.30581305409351756,0.3906789842377704,0.0,0.04282337400672495,2.8157899149622536e-69,0.20193262199939066,0.0,0.08490384148736996,2.248333515278692e-271,0.18146616871260102,0.0,37.49001314068157,2036.1009463283428,0.005332695872670705,0.05356921792907449,0.14646745448406912,0.3083033852025908,78.48157172709206,1.0767691984677297,1.159431906768837,2291941.9610414337,0.5731126502153533,100000,43200,0
mc456_mc_100mln_my_params_cube,13215.353188143426,0.30591095342924596,0.393211783652214,0.0,0.04851454410438932,8.407251695649077e-89,0.20141506665498765,0.0,0.08635109188249573,1.049445100570048e-280,0.18211777138294494,0.0,37.288130476993395,2013.0810173636166,0.014417031041009705,0.053561533155473365,0.14813125821988393,0.3069355761294543,77.6816847520327,1.075791254744502,1.15732682378475,2291495.2982617994,0.5734061748631814,100000000,43200,0
mc456_mc_10k_my_params_cube,13235.445793019751,0.30637606002360535,0.3879028913482372,0.0,0.03624083319810195,9.856048864293575e-50,0.3596813823024211,0.0,0.07641046693390774,8.209958344875343e-220,0.17058635262588684,0.0,36.70903518220035,1967.7898885148256,0.0,0.049932265010307515,0.13665103603110368,0.3148526497827365,78.01937215565555,1.0758001029767823,1.1573458615648555,2287842.4343289994,0.5751846083678801,10000,42906,294
mc456_mc_10mln_my_params_cube,13212.944433887618,0.30585519522888005,0.3931419402469557,0.0,0.048297072966695664,5.194424546490126e-88,0.20149495435014775,0.0,0.08672254743434415,3.9853041941753595e-283,0.18256749041186193,0.0,37.28469198913905,2012.6753740560328,0.013761484723013237,0.0533815463174688,0.14836029612289525,0.30720199717825,77.68101576989687,1.075646634658732,1.1570156826526556,2291877.2777909255,0.5732072569868797,10000000,43200,0
mc456_mc_1mln_my_params_cube,13210.827680864564,0.30580619631630934,0.3925941474812729,0.0,0.048347784880188704,3.399619525587548e-88,0.2013254059295445,0.0,0.086094802279166,4.840720658740159e-279,0.18357675283282326,0.0,37.28772529937021,2013.829045823989,0.011330672557883968,0.05345600300696738,0.1478519216188845,0.3075663399962365,77.74738968634185,1.0749873266050252,1.155597752361419,2292212.9505793513,0.5730325073177693,1000000,43200,0
mc456_p_100k_my_params_tiss_id_4_g_0_9_ls_down_cube,13211.124527503833,0.3058130677662924,0.39067895367108557,0.0,0.04295353080095349,1.0722539328494628e-69,0.20135599199802168,0.0,0.0850923678953201,1.3975281741012208e-272,0.18185739159417702,0.0,37.49002354134018,2036.1024689659714,0.005332695872670705,0.05357303687282195,0.14646745448406912,0.3082814013208506,78.48157172709206,1.076768937882967,1.159431345589613,2291941.8547219355,0.5731127021255393,100000,43200,0
mc456_p_10k_my_params_tiss_id_4_g_0_9_ls_down_cube,13235.445793019751,0.30637606002360535,0.3879029035024815,0.0,0.035911928753913025,7.669768336983355e-49,0.3598654824973141,0.0,0.07625364330220319,6.532375986780645e-219,0.17042300080500983,0.0,36.70902310903068,1967.7890103624418,0.0,0.049932265010307515,0.13665103603110368,0.3148526497827365,78.01937215565555,1.0758002228267605,1.1573461194341077,2287842.4343289994,0.5751846083678801,10000,42906,294
mc456_p_10mln_my_params_tiss_id_4_g_0_9_ls_down_cube,13212.944636690314,0.3058551999233869,0.3931419408057243,0.0,0.048280522902747036,5.964578259703409e-88,0.20155540270379296,0.0,0.08673451588233072,3.3288797948796195e-283,0.18162966031375682,0.0,37.28469232889838,2012.6753114115497,0.013761484723013237,0.05338264010806678,0.1483561576674384,0.30720459505935277,77.68101576989687,1.0756466577473156,1.1570157323229706,2291877.24128644,0.573207274812064,10000000,43200,0
mc456_p_1mln_my_params_tiss_id_4_g_0_9_ls_down_cube,13210.828262833642,0.3058062097878158,0.3925941347830475,0.0,0.0486636736171204,2.4002291164390327e-89,0.201384141519652,0.0,0.08634403858511025,1.1663250614060094e-280,0.18279951918607062,0.0,37.28772509767172,2013.8292133174846,0.011330672557883968,0.05345600300696738,0.14783114061606634,0.3075663399962365,77.74738968634185,1.0749872456490337,1.1555975783080958,2292212.845824917,0.5730325584541909,1000000,43200,0
