Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,5735.091843660123,0.13275675564028064,0.05947404021825309,2.8502880880197802e-133,0.14081000376608532,0.0,0.06318515627226906,2.2113061132100086e-150,0.38943747339966006,0.0,0.11316144505188508,0.0,0.0037329506627034373,-1.2034112577900922,2.2275924546322556e-05,0.06623606708129197,0.1323978225231352,0.1996956908897115,0.26566036444186925,0.07676639360846914,0.005893079187650411,0.0,100.0,100000000,43200,0
mati-sim 100k_original_params_cube,158351.7569083626,3.665549928434319,0.4785140302232643,0.0,0.4595241639208413,0.0,0.48673554803076335,0.0,0.44248946036928466,0.0,0.48273190814405553,0.0,45.92905928183446,2779.4342754648455,0.0,0.0,0.0,0.0,5766.405592313297,68.02744012979414,4627.732610612727,2251696.363024102,6.570481128517882,100000,9435,33765
mati-sim 10k_original_params_cube,157863.19960379836,3.6542407315694065,0.4785484888402874,0.0,0.5169629930268309,0.0,0.5311252452417415,0.0,0.5236891164885447,0.0,0.5292349008587311,0.0,46.089106980154895,2817.186598745893,0.0,0.0,0.0,0.0,5823.984645973029,67.92660146084025,4614.023186019824,2266089.2149657873,6.512636083733916,10000,4622,38578
mati-sim 10mln_original_params_cube,159436.96374982194,3.6906704571718043,0.4785086206086419,0.0,0.32105967148554865,0.0,0.3689106861582589,0.0,0.3879583881459351,0.0,0.36062628637517535,0.0,46.09455667232683,2805.05033236771,0.0,0.0,0.0,0.005744942704479367,5861.229702175105,68.47638444199539,4689.015226247949,2246847.192006093,6.6258576888537135,10000000,19528,23672
mati-sim 1mln_original_params_cube,159294.2286704159,3.6873664044077756,0.4784992881467644,0.0,0.3828810296856706,0.0,0.42382293442413466,0.0,0.3895882546227034,0.0,0.4175765454062845,0.0,46.125713497604025,2809.1748265046267,0.0,0.0,0.0,0.0052169291890225376,5847.933265297025,68.38535673801306,4676.5570161853075,2245724.7924700426,6.623408267053069,1000000,14944,28256
