Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,5738.194859533783,0.13282858471143016,0.003071764452052761,0.8084501290948001,0.014478020654828283,2.6989274866249156e-08,0.010899006031591163,6.925957527680075e-05,0.07928079623096601,1.2580589669080866e-236,0.03210996221659845,3.934944459330455e-39,-0.008239646888264524,0.027821658889714218,0.10895653157399034,0.1289840698003524,0.132861881705931,0.13666524220447132,0.15834298283194073,0.005720031297006933,3.271875803873882e-05,0.0,100.0,100000000,43200,0
mati-sim 3-layers 1000_fotonow_cube,4831.248327939893,0.11183445203564567,0.41088985924173166,0.0,0.43036266214769636,0.0,0.431858850239548,0.0,0.4097441777162545,0.0,0.4311907869758215,0.0,31.726529996910724,1421.503742597378,0.0,0.0,0.0,0.10395390387650755,28.97078854863503,0.49647597105645097,0.24648838983644594,3473469.0944594494,0.13889681315065214,1000,14254,28946
mati-sim 3-layers 100_000_fotonow_cube,5015.3437275472525,0.11609591961914936,0.40269708405208327,0.0,0.10876089262049132,0.0,0.31688020285724783,0.0,0.1431402734073179,0.0,0.06675288067292917,8.239186510029553e-168,35.52032700876345,1654.5804953010943,0.0,0.009024146676923748,0.051753146716131064,0.1104912829458761,27.350012551686056,0.4712217786761786,0.22204996469874144,3456100.355439924,0.1449054051776897,100000,43042,158
mati-sim 3-layers 100_fotonow_cube,4833.834549094309,0.11189431826607198,0.5126805231793287,0.0,0.5383243638456792,0.0,0.5409353351470475,0.0,0.5407053812512801,0.0,0.5403812399714895,0.0,16.921882439010083,563.2857192539838,0.0,0.0,0.0,0.0,38.29359197340695,0.6847398788287234,0.4688687016583749,3481938.1305733346,0.13863351539608304,100,2256,40944
mati-sim 3-layers 10_000_fotonow_cube,5056.6909066687385,0.11705303024696154,0.40253218604813495,0.0,0.19656671755867844,0.0,0.49811907662885624,0.0,0.15911116484886462,0.0,0.3873062968325085,0.0,34.92216482259652,1620.3050688823141,0.0,0.007923542688764705,0.046209528241280245,0.11721561096154295,27.136012389173782,0.47428632356130573,0.2249475167172996,3438432.5129296854,0.14684788037189528,10000,35292,7908
mati-sim 3-layers 1_000_000_cube,5017.580925622762,0.11614770661163801,0.4028761242237726,0.0,0.10901557776007381,0.0,0.2851791168417928,0.0,0.14432946731114266,0.0,0.06715270446890331,7.995192726094052e-170,35.443214340267126,1645.1295041042044,0.0002798991091446434,0.009048902464074726,0.05275390169863731,0.11061580810954874,27.29628652431504,0.4707075729585728,0.22156561924055015,3451552.6065483047,0.14516068395792148,1000000,43200,0
