Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,5738.19485953378,0.13282858471143008,0.0027513877920647967,0.8982792074618575,0.013023961544785911,8.555769387687164e-07,0.01213763801575407,5.880085969025821e-06,0.07831831885095852,6.418641525432396e-231,0.030416483491669477,3.7183278172855995e-35,-0.019785298166940114,-0.012610594361660787,0.1066188718729563,0.12897427878748538,0.13285571059599743,0.13670467094280536,0.1562192759971633,0.005734879485886717,3.28888427176443e-05,0.0,100.0,100000000,43200,0
mati-sim 2-layers 1000_photons_cube,13841.71439400512,0.3204100554167852,0.4142862952156,0.0,0.402800709106187,0.0,0.41279424236700457,0.0,0.40223692142751294,0.0,0.41000450461820054,0.0,31.192088274042476,1333.8086690084315,0.0,0.0,0.0,0.2882324106851174,82.18019944327193,1.4797310220311646,2.189603897561395,3390833.684091049,0.4065501927192277,1000,15861,27339
mati-sim 2-layers 100_000_photons_cube,13891.819479873246,0.32156989536743624,0.40924430832558717,0.0,0.03382023799186329,2.2980729301381754e-43,0.24777276340539484,0.0,0.08426080883600245,2.7975421450364948e-267,0.17758640941454984,0.0,35.43468999083334,1635.8655475006676,0.0,0.04284433331522032,0.12793220177154824,0.2965368159695855,80.04909720147165,1.4012411920462198,1.9634768782871113,3406860.827448151,0.4061041798023212,100000,43187,13
mati-sim 2-layers 100_photons_cube,13787.28694993665,0.31915016087816317,0.5052009648896297,0.0,0.5377236419365399,0.0,0.5407854367787258,0.0,0.5407517154927046,0.0,0.5406663930317412,0.0,19.451577820414332,706.3637985656695,0.0,0.0,0.0,0.0,105.70573681384558,2.0214797798635415,4.086380500397152,3396473.804535038,0.40428831048631153,100,2485,40715
mati-sim 2-layers 10_000_photons_cube,13894.22758176904,0.3216256384668759,0.41021259212030625,0.0,0.10454904506282975,0.0,0.5279799112643078,0.0,0.09045035397141055,5.367526853962843e-308,0.37816387329849055,0.0,35.37677418233663,1650.9527287578198,0.0,0.03422532481086016,0.11319473945740813,0.2991582819499772,82.6271030932698,1.4168646083654892,2.007505318438691,3406540.8900342486,0.4062122830575155,10000,38562,4638
mati-sim 2-layers 1_000_000_photons_cube,13884.450226611803,0.32139931080119916,0.4101047447147526,0.0,0.03428593344898695,1.480855177094428e-44,0.22590345212237234,0.0,0.08340923033620862,6.630186707244223e-262,0.18071056308294986,0.0,35.64164770834902,1653.4582317718928,0.0023990842996550552,0.043519450197992866,0.12984239626355132,0.29484691717561473,80.85750246818444,1.4010621929255629,1.9629752684453874,3404973.337388934,0.40611371075178293,1000000,43200,0
