name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-0.00012445579942343832,0.7577097433403774,1717348887501.0,0.0,35739612711800.0,0.0,None,None,None,None,None,None,262.2232924230501,16.19331011322423,262.2232924230501,16.19331011322423,0.8266166545389341,0.0,0.5,0.0,0.9366661783854167,0.0,10958.148577946726,0.0,3.700532976467296e-05,0.9269161860293939,602.7972527236649,0.0,602.8021211758886,0.0
mati-sim veins 1000_fotonów_cube,None,None,0.0,0.0,17627418624000.0,0.0,None,None,None,None,None,None,240.67925034228767,15.513840605803829,240.67925034228767,15.513840605803829,0.5,0.0,0.5,0.0,0.06606575520833335,0.0,150486.87736379626,0.0,None,None,-387.9263813712549,0.0,-387.9263813712549,0.0
mati-sim veins 100_000_fotonów_cube,0.9900698983553015,0.0,15130829.0,0.8014497006846724,18874348787888.0,0.9942734116137224,None,None,None,None,None,None,4.683504404915405,2.164140569583086,4.683504404915405,2.164140569583086,0.5,0.0,0.5,0.0,1.0904947916667851e-05,1.0,5.57377529775917e-06,0.9981164317527127,0.9900378407551841,0.0,0.002360884431258584,0.9981162885506809,0.02365364001779443,0.9811288863222827
mati-sim veins 100_fotonow_propEnvVec_cube,None,None,0.0,0.0,17627556864000.0,0.0,None,None,None,None,None,None,240.8081284953952,15.517993700713866,240.8081284953952,15.517993700713866,0.5,0.0,0.5,0.0,0.0660584309895833,0.0,150474.029979017,0.0,None,None,-387.90982196770557,0.0,-387.90982196770557,0.0
mati-sim veins 100_fotonów_cube,None,None,0.0,0.0,17627624448000.0,0.0,None,None,None,None,None,None,240.7774186781477,15.51700417858253,240.7774186781477,15.51700417858253,0.5,0.0,0.5,0.0,0.06605485026041669,0.0,150439.65980172288,0.0,None,None,-387.8655176755507,0.0,-387.8655176755506,0.0
mati-sim veins 10_000_fotonów_cube,None,None,0.0,0.0,17627277312000.0,0.0,None,None,None,None,None,None,240.974740457756,15.523361119865633,240.974740457756,15.523361119865633,0.5,0.0,0.5,0.0,0.06607324218749999,0.0,150506.25223154775,0.0,None,None,-387.95135291882633,0.0,-387.95135291882633,0.0
