name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,0.007134713109047676,0.13810145051451975,277024491.0,0.0,787591820.0,0.0,None,None,None,None,None,None,5.740204272561453,2.3958723406228164,5.740204272561453,2.3958723406228164,0.5011674355662168,0.0,0.5,0.0,0.39375000000000004,0.0,3260.62884466525,0.0,-0.006452189338497055,0.1799082700077155,-55.06980798136638,0.0,-55.05829300786783,0.0
mati-sim 2-layers 1000_photons_cube,0.025843146666348096,7.780813997604017e-08,3489728.0,0.0,141648651.0,0.0,None,None,None,None,None,None,10.423108684057528,3.228483960631914,10.423108684057528,3.228483960631914,0.5,0.0,0.5,0.0,0.8500694444444444,0.0,1544.278791520754,0.0,0.002284860226800005,0.6348681177291055,-42.54204748743787,0.0,-42.59063591908342,0.0
mati-sim 2-layers 100_000_photons_cube,0.6164242934591022,0.0,276767396.0,6.322127463839286e-206,618077802.0,0.0,None,None,None,None,None,None,1.7146943996128265,1.3094634014025845,1.7146943996128265,1.3094634014025845,0.5,0.0,0.5,0.0,0.5124768518518518,0.0,8.803437520457782,0.0030074583265036563,0.8447384954229469,0.0,-0.4038551012239101,0.6863202741488056,-1.0234750174190523,0.3060890372634361
mati-sim 2-layers 100_photons_cube,None,None,0.0,0.0,137980800.0,0.0,None,None,None,None,None,None,5.923778098763974,2.433881282799959,5.923778098763974,2.433881282799959,0.5,0.0,0.5,0.0,0.8521296296296297,0.0,3974.239121903662,0.0,None,None,-67.03627867123508,0.0,-67.03627867123508,0.0
mati-sim 2-layers 10_000_photons_cube,0.281482322147162,0.0,90242187.0,0.0,246124306.5,0.0,None,None,None,None,None,None,8.779990370164121,2.9631048530492676,8.779990370164121,2.9631048530492676,0.5,0.0,0.5,0.0,0.7883333333333333,0.0,0.17632214322588355,0.6745542165973706,0.4521423369405262,0.0,-3.2545351338801143,0.0011362176697656556,-4.3155233310732175,1.5957881257011446e-05
mati-sim 2-layers 1_000_000_photons_cube,0.99090802353809,0.0,39532.5,0.04216023889231788,932399037.5,0.8438295228359425,None,None,None,None,None,None,0.11298824030335373,0.33613723433049447,0.11298824030335373,0.33613723433049447,0.5,0.0,0.5,0.0,0.0008333333333333526,1.0,0.03502170262901213,0.8515506294159154,0.9894529393089093,0.0,-0.1915753346845095,0.8480753148880693,-1.8644724212799446,0.06226216769321743
