Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,5741.305383936399,0.13290058759112036,0.05859260791694665,2.323427158875748e-129,0.13962942758090624,0.0,0.06297113418878647,2.288938052536269e-149,0.38948680262744895,0.0,0.11206719710285906,0.0,-0.0038267540121640162,-1.202261398194459,4.028741324579815e-06,0.06643176539744977,0.13323572345916795,0.19905717780810564,0.2657193421046968,0.07658780202315237,0.005865691418737581,0.0,100.0,100000000,43200,0
mati-sim 100k_original_params_cube,35021.01019491582,0.810671532289718,0.4785140302232643,0.0,0.45966675530687096,0.0,0.4866296196214871,0.0,0.46606401947240716,0.0,0.4833573814017511,0.0,45.92905928183443,2779.4342754648446,0.0,0.0,0.0,0.0,1275.2959170089182,15.044921008980179,226.34964816645314,497984.25243210874,6.570481128517882,100000,9435,33765
mati-sim 10k_original_params_cube,34912.96106001518,0.8081703949077588,0.4785484888402874,0.0,0.5169213569511615,0.0,0.5311663034174566,0.0,0.5301341912275134,0.0,0.5290395965638189,0.0,46.0891069801549,2817.1865987458923,0.0,0.0,0.0,0.0,1288.0300771129828,15.022619569940757,225.679098743167,501167.3697174783,6.512636083733918,10000,4622,38578
mati-sim 10mln_original_params_cube,35261.01409888469,0.8162271782149234,0.4785086206086419,0.0,0.3209942318492333,0.0,0.3689106861582589,0.0,0.360665630167885,0.0,0.362448864979928,0.0,46.09455667232687,2805.0503323677117,0.0,0.0,0.0,0.0012705491934592741,1296.2671786041774,15.14420935059073,229.3470768545197,496911.81174073776,6.625857688853711,10000000,19528,23672
mati-sim 1mln_original_params_cube,35229.44686673871,0.8154964552485813,0.47849928814676446,0.0,0.38307303027249917,0.0,0.42365869263255596,0.0,0.36533888707200113,0.0,0.419141986593711,0.0,46.12571349760401,2809.1748265046253,0.0,0.0,0.0,0.0011537739389948227,1293.3265440286307,15.124077700576708,228.7377262930816,496663.5823155503,6.623408267053067,1000000,14944,28256
mc456_mc_100k_original_params_cube,36725.6125867242,0.8501299209889861,0.4699751773054792,0.0,0.4363125054036263,0.0,0.46743683357494187,0.0,0.44479806150229784,0.0,0.4635771004559994,0.0,29.3025585487108,1114.8455765269616,0.0,0.0,0.0,0.0011048091306495485,606.6371586379203,11.28507123943691,127.3528328791661,297440.4577436864,10.990227867961377,100000,11179,32021
mc456_mc_100mln_original_params_cube,36685.27317292657,0.8491961382621892,0.4701280941640024,0.0,0.25196056652155957,0.0,0.3744363388687226,0.0,0.3434243420477261,0.0,0.2988810990879496,0.0,29.579802975232667,1134.9461395522253,0.0,0.0,1.011371789652451e-05,0.002312115390397926,604.1280392028372,11.330490518402415,128.38001538760705,298558.5651111393,10.942862771378255,100000000,24568,18632
mc456_mc_10k_original_params_cube,36617.692998708946,0.8476317823775219,0.47004756490568583,0.0,0.5011384042143426,0.0,0.5190331629355283,0.0,0.517882686542092,0.0,0.5165819454150649,0.0,29.272897615383386,1106.0763684131455,0.0,0.0,0.0,0.0,620.8236031090654,11.279154143225302,127.2193181866365,293983.62974015606,11.076087867813067,10000,6138,37062
mc456_mc_10mln_original_params_cube,36672.19671565966,0.8488934424921217,0.4701431922682606,0.0,0.30859156699675505,0.0,0.3566707217121618,0.0,0.3433372114900862,0.0,0.34929097161920025,0.0,29.60564865056476,1136.8454438890146,0.0,0.0,0.0,0.002316182148030491,604.2782030727964,11.332190104575945,128.41853256624898,298573.5718910675,10.938899204624827,10000000,20541,22659
mc456_mc_1mln_original_params_cube,36661.6391329096,0.8486490540025371,0.47015604731165844,0.0,0.366767963398358,0.0,0.408871040264882,0.0,0.3510363729812431,0.0,0.4033118846975053,0.0,29.573769225094093,1133.7168986358759,0.0,0.0,0.0,0.002277845176218654,603.8837032120384,11.333816653743737,128.4553999406789,298638.897135084,10.933963763066362,1000000,16204,26996
