Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,38254632.3968918,6.226339908348275,0.05736202775247057,0.0,0.1406280001178899,0.0,0.48587251907679585,0.0,0.5065856655786501,0.0,0.5355395114031904,0.0,-5.090333357116423e-05,-1.200781584024332,3.356208745184878e-06,3.1117350167701447,6.225221190958333,9.34296751238588,12.45077575030038,3.5954024664453836,12.926918895721547,0.0,100.0,100000000,6144000,0
mati-sim veins 1000_fotonów_cube,46701508.49266608,7.601156981228203,0.5056458309315279,0.0,nan,nan,nan,nan,nan,nan,nan,nan,89.47256743938205,10887.882752993115,0.0,0.0,0.0,0.0,170928.8763283711,461.60483521698416,213079.0238956991,109116064.40795612,29.97191370863639,1000,5672,6138328
mati-sim veins 100_000_fotonów_cube,46408039.05775221,7.55339177372269,0.46599076714776544,0.0,0.5368017885414327,0.0,0.5388044391229195,0.0,0.5367767215411698,0.0,0.538366874083594,0.0,596.7339570143189,854674.1788185283,0.0,0.0,0.0,0.0,133675.22788122232,88.49692766190805,7831.706205596985,109205593.92463171,29.822604978964655,100000,462954,5681046
mati-sim veins 100_fotonow_propEnvVec_cube,34113399.43595406,5.552311106112314,0.5018262225307738,0.0,nan,nan,nan,nan,nan,nan,nan,nan,315.70238772811734,118193.17718483116,0.0,0.0,0.0,0.0,770080.0904033817,1167.140890533129,1362217.8583544656,119892177.5405609,22.150755904869712,100,440,6143560
mati-sim veins 100_fotonów_cube,44812988.13236058,7.293780620501396,0.501983259610833,0.0,nan,nan,nan,nan,nan,nan,nan,nan,274.13470595000666,84575.0882481261,0.0,0.0,0.0,0.0,758334.7227076546,1396.0260079345853,1948888.6148297752,110364059.65967259,28.8786188228162,100,621,6143379
mati-sim veins 10_000_fotonów_cube,46259968.35389622,7.5292917242669635,0.5084685459628873,0.0,nan,nan,nan,nan,nan,nan,nan,nan,186.01999200984568,160679.4809640628,0.0,0.0,0.0,0.0,164183.8771662581,165.0816864064177,27251.963186786834,109398799.3943677,29.71883243268972,10000,60433,6083567
