name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,0.0005680500458169703,0.11318582336014708,6505014503839.0,0.0,45906324480427.0,0.0,None,None,None,None,None,None,0.0244414257975871,0.15633753803097675,0.0244414257975871,0.15633753803097675,0.50105580527878,0.0,0.5,0.0,0.42623058127572017,0.0,10802.083492162206,0.0,0.0008805334920185961,0.014072398640795498,1067.6244685389975,0.0,1068.0396477697632,0.0
mati-sim 3-layers 1000_fotonow_cube,None,None,0.0,0.0,9198028224000.0,0.0,None,None,None,None,None,None,0.021588705306408298,0.1469309542145844,0.021588705306408298,0.1469309542145844,0.5,0.0,0.5,0.0,0.6957628600823045,0.0,3001061.2919010194,0.0,None,None,-1712.9590930169757,0.0,-1712.9590930169757,0.0
mati-sim 3-layers 100_000_fotonow_cube,0.4610308791178606,0.0,5388233850403.0,0.0,18421495879863.5,0.0,None,None,None,None,None,None,0.026612414400089674,0.16313311864881905,0.026612414400089674,0.16313311864881905,0.5,0.0,0.5,0.0,0.49556507201646094,0.0,2504.837279260495,0.0,0.515576967722156,0.0,-42.801422318895675,0.0,-59.146586324269514,0.0
mati-sim 3-layers 100_fotonow_cube,None,None,0.0,0.0,9197495568000.0,0.0,None,None,None,None,None,None,0.021596148321900044,0.1469562803077842,0.021596148321900044,0.1469562803077842,0.5,0.0,0.5,0.0,0.6957804783950617,0.0,3000771.2675081305,0.0,None,None,-1712.9173696447094,0.0,-1712.9173696447094,0.0
mati-sim 3-layers 10_000_fotonow_cube,0.12201356667392035,0.0,810840668657.0,0.0,10203299287762.0,0.0,None,None,None,None,None,None,0.1298141162746018,0.36029726098681597,0.1298141162746018,0.36029726098681597,0.5,0.0,0.5,0.0,0.6760985082304527,0.0,37541.83399681005,0.0,0.1030250966957192,0.0,-246.97630707626547,0.0,-255.47755674302635,0.0
mati-sim 3-layers 1_000_000_cube,0.9900749885804595,0.0,1240592100.0,0.37775606345220014,30232966379457.0,0.9888807286904944,9.684278480732264,1.0,None,None,None,None,0.00030619452376767835,0.017498414893003262,0.00030619452376767835,0.017498414893003262,0.5,0.0,0.5,0.0,5.4269547325125345e-05,1.0,0.06954404785156368,0.7920018094881613,0.9902334733523743,0.0,-0.21548796471837015,0.8293868972573957,-2.1804803160419355,0.02922190623788226
