name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-0.0002613103321393426,0.956687575384969,376201081.0,2.589348882091241e-266,946928587.0,0.00016521471024788303,None,None,None,None,None,None,0.15122213643310753,0.3888729052442553,0.15122213643310753,0.3888729052442553,0.5475294643565458,0.0,0.502887078460936,0.0,0.4746296296296296,0.0,14001.367058805925,0.0,0.001033651157516849,0.8298965880323479,-65.5034788290727,0.0,-65.50445799520746,0.0
mati-sim 2-layers 1000_photons_cube,0.4790908328374051,0.0,355975173.0,0.0,544470435.0,0.0,None,None,None,None,None,None,0.17029284481260554,0.4126655362549743,0.17029284481260554,0.4126655362549743,0.5,0.0,0.502887078460936,0.0,0.6395138888888889,0.0,219.48957785618572,1.344957280139604e-49,0.5617272371587739,0.0,-3.942779310346101,8.060619696885557e-05,-5.826040141106024,5.715964157685546e-09
mati-sim 2-layers 100_000_photons_cube,0.9534681639996723,0.0,459059375.0,0.0037569909593290138,928167950.0,0.17671823305310796,None,None,None,None,None,None,0.013257207375614881,0.11513994691511231,0.013257207375614881,0.11513994691511231,0.501908573087268,0.0,0.502887078460936,0.0,0.017083333333333332,6.613280356178891e-06,0.4658055168986363,0.4949250120798977,0.9516705442853536,0.0,0.08710396462144085,0.9305890759130983,0.39619538589097475,0.6919628517543344
mati-sim 2-layers 100_photons_cube,0.1542268518717796,3.797724111085563e-228,88010280.0,0.0,90476403.0,0.0,None,None,None,None,None,None,0.9591554476152739,0.9793648184488117,0.9591554476152739,0.9793648184488117,0.5,0.0,0.502887078460936,0.0,0.9511342592592592,0.0,0.662387175439595,0.41572068650598226,0.18273301002373157,5.64e-321,-11.497234232637862,1.4337606925783822e-30,-12.264163931325378,1.6102239822535384e-34
mati-sim 2-layers 10_000_photons_cube,0.8658473889208711,0.0,421448014.0,7.152169669352724e-68,870437531.0,1.452250317525891e-65,None,None,None,None,None,None,0.03699983392967051,0.19235340893696298,0.03699983392967051,0.19235340893696298,0.5,0.0,0.502887078460936,0.0,0.11388888888888889,1.638498967045216e-244,19.97185258642015,7.869026468647175e-06,0.8719263853100869,0.0,-1.5292738527684824,0.1262002297923967,-4.259257522929986,2.0554029444532814e-05
mati-sim 2-layers 1_000_000_photons_cube,0.9806105033745661,0.0,185429.0,0.8475103644600124,933241250.0,0.9736131029760474,None,None,None,None,None,None,0.004359895131116711,0.06602950197538,0.004359895131116711,0.06602950197538,0.502887078460936,0.0,0.502887078460936,0.0,0.0005555555555555869,1.0,0.004433448693295711,0.9469129203143286,0.984000314778293,0.0,0.08467618390377055,0.9325190266355285,0.6693984888603867,0.503244892856955
