Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,74716.07890017916,0.01153025908953382,0.05720872823172801,0.0,0.14046942620006786,0.0,0.5018531600183046,0.0,0.10671332320742943,0.0,0.13465632468458755,0.0,0.0009280308858370931,-1.199831578681155,2.963106372676741e-09,0.005764606867560933,0.011524591497042689,0.01729590704780815,0.023070487109121258,0.006659460327586505,4.4348411854698555e-05,0.0,100.0,100000000,6479999,1
mati-sim my_params 10k g_0_5_cube,336193.210402771,0.05188166827203256,0.4856754141491856,0.0,0.4103483439094445,0.0,0.4422740204069775,0.0,0.4041393265482863,0.0,0.44103231317699465,0.0,1045.3941108513043,1380287.9990018597,0.0,0.0,0.0,0.0005830650676602187,2279.0128911075403,1.4446031953038911,2.086878391882212,1072.2303864970188,99.68208115720726,10000,2007361,4472639
mati-sim my_params 10k g_0_9_cube,296428.4326311167,0.04574512849245628,0.48978454552984163,0.0,0.49786587913981784,0.0,0.5035012859598749,0.0,0.4666794597983951,0.0,0.5031015700462285,0.0,996.89843783737,1141887.7224516491,0.0,0.0,0.0,0.0,2453.1777413052114,1.7862809092668668,3.1907994868112644,35497.612536202025,89.3055657870089,10000,1171353,5308647
mati-sim my_params 10k g_0_cube,337734.50970351516,0.052119523102394316,0.48777645239127854,0.0,0.4370384924819807,0.0,0.4708118794543248,0.0,0.43197996302521613,0.0,0.46977462243675433,0.0,908.1108044932415,1133519.4403447467,0.0,0.0,0.0,5.586203051907599e-05,2532.8235536536467,1.7007687239237228,2.8926142522771285,50.32898260501944,99.98510028371884,10000,1632868,4847132
mati-sim my_params 10k g_1_cube,176055.0261635051,0.02716898551905943,0.5015174239770968,0.0,nan,nan,nan,nan,nan,nan,nan,nan,271.1149448779401,76194.15678091261,0.0,0.0,0.0,0.0,2457.0828026903973,7.071003299183471,49.99908765706353,161782.81167433332,52.11228774439741,10000,100,6479900
