name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,0.0003896611899794267,0.9354521184265674,335942166.0,0.0,866403721.0,5.129617530680409e-74,None,None,None,None,None,None,0.11435049104885688,0.3381574944443149,0.11435049104885688,0.3381574944443149,0.5476252004824551,0.0,0.507203863077166,0.0,0.5048148148148148,0.0,18352.24038757065,0.0,-0.0004459291155239657,0.9261562379804009,-76.83844691347785,0.0,-76.83787106928918,0.0
mc456_mc_100mln_my_params_tiss_id_4_g_0_1__cube,0.9294048282736911,0.0,190827719.0,0.0,521881903.0,0.0,None,None,None,None,None,None,0.30145853143546575,0.5490523940713361,0.30145853143546575,0.5490523940713361,0.5000510379255818,0.0,0.507203863077166,0.0,0.49016203703703703,0.0,423.8612954865619,5.93055643299204e-94,0.5855802860324792,0.0,2.8311823158143112,0.0046386988170045666,3.8237354971031934,0.0001316293885569858
mc456_mc_100mln_my_params_tiss_id_4_g_0_2__cube,0.9287391386132995,0.0,202248339.0,0.0,548349337.0,0.0,None,None,None,None,None,None,0.282096378232924,0.5311274594981171,0.282096378232924,0.5311274594981171,0.5000806606194201,0.0,0.507203863077166,0.0,0.4666203703703704,0.0,490.0455598965326,2.791075528118441e-108,0.5940771866965652,0.0,4.255967259199657,2.0836626358533106e-05,5.824074042516125,5.7836006045347935e-09
mc456_mc_100mln_my_params_tiss_id_4_g_0_3__cube,0.9328237853705214,0.0,215733438.0,0.0,577376071.0,0.0,None,None,None,None,None,None,0.25637298138010806,0.5063328760609053,0.25637298138010806,0.5063328760609053,0.5001314298501192,0.0,0.507203863077166,0.0,0.4403009259259259,0.0,572.9642432592331,3.2861341760465364e-126,0.6168805729975063,0.0,5.973706265500353,2.328266707106449e-09,8.38325015128214,5.3019939111699666e-17
mc456_mc_100mln_my_params_tiss_id_4_g_0_4__cube,0.9326799493921862,0.0,231565919.0,0.0,610853455.0,0.0,None,None,None,None,None,None,0.23057014794774397,0.4801772047356517,0.23057014794774397,0.4801772047356517,0.5002214992403828,0.0,0.507203863077166,0.0,0.4090972222222222,0.0,652.3120452244565,2.398668086751505e-143,0.6338605966497068,0.0,7.5827830838466435,3.415824423980227e-14,10.91357296541188,1.0790207277760374e-27
mc456_mc_100mln_my_params_tiss_id_4_g_0_5__cube,0.9352991762632492,0.0,251636997.0,0.0,650707790.0,0.0,None,None,None,None,None,None,0.19568765818100586,0.44236597764860475,0.19568765818100586,0.44236597764860475,0.5003851370072462,0.0,0.507203863077166,0.0,0.370462962962963,0.0,730.3642207410467,3.478738898645183e-160,0.6611058359583182,0.0,9.180107562639895,4.3981031408518084e-20,13.765071547086054,5.097611466962497e-43
mc456_mc_100mln_my_params_tiss_id_4_g_0_6__cube,0.9370465750835467,0.0,274915808.0,0.0,695586158.0,0.0,None,None,None,None,None,None,0.15584905240493996,0.39477721870054755,0.15584905240493996,0.39477721870054755,0.5007026764912693,0.0,0.507203863077166,0.0,0.3243287037037037,0.0,772.6259636251107,2.700582661697828e-169,0.6947925270370997,0.0,10.28366498712848,8.62873856355668e-25,16.374519618065,4.414373163220951e-60
mc456_mc_100mln_my_params_tiss_id_4_g_0_7__cube,0.9437479479883418,0.0,304132742.0,0.0,753330338.0,0.0,None,None,None,None,None,None,0.10725239209150743,0.3274941100104053,0.10725239209150743,0.3274941100104053,0.501354495497373,0.0,0.507203863077166,0.0,0.26069444444444445,0.0,720.3549798947031,5.009201817542022e-158,0.7453872121972611,0.0,10.460137948407473,1.3638660211278898e-25,18.567582979973704,1.1699738108957885e-76
mc456_mc_100mln_my_params_tiss_id_4_g_0_8__cube,0.9569027112902488,0.0,341991655.0,0.0,827646974.0,4.637299696903889e-182,None,None,None,None,None,None,0.05439948283992818,0.23323696713841952,0.05439948283992818,0.23323696713841952,0.5028816112441417,0.0,0.507203863077166,0.0,0.1702777777777778,0.0,466.44965555470395,3.564212287196986e-103,0.8266984117262363,0.0,8.745193689210893,2.2653075624525105e-18,19.54078213084852,1.1484487218277549e-84
mc456_mc_100mln_my_params_tiss_id_4_g_0_9__cube,0.9816500154463252,0.0,185219.0,0.8251582180454171,933199172.5,0.982768407925373,None,None,None,None,None,None,0.003705718105346725,0.060874609693588384,0.003705718105346725,0.060874609693588384,0.507203863077166,0.0,0.507203863077166,0.0,0.0006481481481481755,1.0,0.000642510980779823,0.9797776056045456,0.9815138696566665,0.0,0.0006808279082010166,0.9994567795373066,0.00500733608175621,0.9960047636669913
