name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-1.1953475940983717e-05,0.9734091688148969,11839208664604.0,0.0,27757761073314.0,0.0,None,None,None,None,None,None,0.09407420569327561,0.30671518660359093,0.09407420569327561,0.30671518660359093,0.5010593624711107,0.0,0.5065898970929626,0.0,0.24519778806584358,0.0,1058199.835092227,0.0,3.926290003985626e-05,0.9128166572406068,-828.6949770123052,0.0,-828.7030197713021,0.0
mc456_mc_100mln_my_params_tiss_id_2_cube,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,0.12933144237978966,0.3596268098734988,0.12933144237978966,0.3596268098734988,0.5,0.0,0.5065898970929626,0.0,1.0,0.0,3104212.7551638754,0.0,None,None,-2160.13304801689,0.0,-2160.13304801689,0.0
mc456_mc_100mln_my_params_tiss_id_3_cube,0.7792355242942856,0.0,4500475988569.0,0.0,42939396992605.0,0.0,None,None,None,None,None,None,0.0610375164001354,0.24705771876250981,0.0610375164001354,0.24705771876250981,0.5368551139091265,0.0,0.5065898970929626,0.0,0.407715920781893,0.0,3062.689395366583,0.0,0.6877150842469785,0.0,685.1788295394023,0.0,1225.9998268904194,0.0
mc456_mc_100mln_my_params_tiss_id_4_cube,0.980066893239616,0.0,6028545877.0,0.3063452292663874,30234080607976.0,0.9107209098705412,18.84422014638477,1.0,None,None,None,None,0.003230840014737279,0.056840478663864887,0.003230840014737279,0.056840478663864887,0.5065898970929626,0.0,0.5065898970929626,0.0,5.851337448559146e-05,1.0,0.12621915062334468,0.7223848251577893,0.9800149074825248,0.0,0.32988907239443566,0.7414837851446856,2.3335332360116015,0.019620201397903263
mc456_mc_100mln_my_params_tiss_id_5_cube,0.9216663100557136,0.0,321664986130.0,0.0,14111349014957.0,0.0,None,None,None,None,None,None,0.05381738051552058,0.23198573343100343,0.05381738051552058,0.23198573343100343,0.5013399405210828,0.0,0.5065898970929626,0.0,0.3971833847736625,0.0,796788.2996790989,0.0,0.7979766376723204,0.0,-1182.2524093492277,0.0,-2024.070577113733,0.0
mc456_mc_100mln_my_params_tiss_id_6_cube,0.943522673976681,0.0,81249187110.0,0.0,3227140826349.0,0.0,None,None,None,None,None,None,0.09759605442671826,0.31240367223628834,0.09759605442671826,0.31240367223628834,0.5000052690330613,0.0,0.5065898970929626,0.0,0.8013157150205762,0.0,2299766.9309935793,0.0,0.8228259433002231,0.0,-1927.719447636763,0.0,-2332.1342926787993,0.0
mc456_mc_100mln_my_params_tiss_id_7_cube,0.9069333384691547,0.0,17690728941.0,0.0,489211985416.0,0.0,None,None,None,None,None,None,0.12317551048450869,0.35096368827060825,0.12317551048450869,0.35096368827060825,0.5,0.0,0.5065898970929626,0.0,0.9610405092592592,0.0,2986267.0607339195,0.0,0.6801884374329872,0.0,-2129.9186543790115,0.0,-2200.532135921384,0.0
mc456_mc_100mln_my_params_tiss_id_8_cube,0.5804854599285807,0.0,7968841748.0,0.0,196325335777.0,0.0,None,None,None,None,None,None,0.12768529966800404,0.357330798655817,0.12768529966800404,0.357330798655817,0.5,0.0,0.5065898970929626,0.0,0.9860697016460905,0.0,3061348.7840548893,0.0,0.26188862337085234,0.0,-2149.2424935187723,0.0,-2166.57339305086,0.0
