name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-0.00033269405132368995,0.3535459765772251,1633594752145.0,0.0,57736895808597.0,0.0,None,None,None,None,None,None,0.04521389676907856,0.21263559619470715,0.5010614962838874,0.0,0.5,0.0,0.8602123199588477,0.0,364227.805506181,0.0,-3.0402337367525895e-05,0.9324375948405363,1586.627636330117,0.0,1586.6097121488453,0.0
mati-sim 100k_original_params_cube,0.6006886376925431,0.0,1070042741542.0,0.0,23356582669624.0,0.0,None,None,None,None,None,None,0.011176790502980994,0.10572034100862991,0.5,0.0,0.5,0.0,0.2541060956790123,0.0,129.4974361257128,5.279904895658935e-30,0.8043222744375034,0.0,-11.379694026014619,5.2799048947376935e-30,-25.725132995191743,6.206186749533074e-146
mati-sim 10k_original_params_cube,0.31887397037822246,0.0,434275431591.0,0.0,20491541515510.5,0.0,None,None,None,None,None,None,0.02867007588094575,0.169322402182776,0.5,0.0,0.5,0.0,0.332778549382716,0.0,8147.021269392873,0.0,0.4743204788583751,0.0,-90.26085125564059,0.0,-124.42626206042758,0.0
mati-sim 10mln_original_params_cube,0.9900258355452413,0.0,534923941.5,0.7254162468652257,30233296448514.5,0.9782419733444032,9.402648133563641,1.0,None,None,None,None,0.0005434900580736635,0.023312873226474327,0.5,0.0,0.5,0.0,2.2247942386921515e-05,1.0,0.003475931011846195,0.9529863423993973,0.9904568330533,0.0,0.05895702682332441,0.9529863369227516,0.6035167286844569,0.5461650078197362
mati-sim 1mln_original_params_cube,0.8260150849883279,0.0,1694685618028.0,0.0,27005265479419.5,0.0,None,None,None,None,None,None,0.0036991877102807414,0.0608209479561174,0.5,0.0,0.5,0.0,0.13444547325102885,0.0,1.4179262340941783,0.23374505406287555,0.9351070086611958,0.0,-1.1907670780191137,0.23374505470344267,-4.674421947000569,2.947876498183572e-06
