number of photons = 100000000
overflow: 2.89055833004013895988e+07
sum: 7.10947982169463783503e+07
sum: 7.10944166995986104012e+07
avg: 7.10947982169463754687e-01
perc_in: 71.09

number of photons = 100000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.49583 	 0.00000000000000000000e+00 	 7.11789922534107697555e-04 	 2.24119883765983709879e-08 
0.50417 	 0.00000000000000000000e+00 	 7.83758093091923234950e-04 	 3.01873460004149489020e-08 
0.51250 	 0.00000000000000000000e+00 	 8.63001793210954127114e-04 	 3.33174049746554439972e-08 
0.52083 	 0.00000000000000000000e+00 	 9.52751410265983999549e-04 	 4.18133736732515931546e-08 
0.52917 	 0.00000000000000000000e+00 	 1.05031179846239229418e-03 	 4.29490519944834461495e-08 
0.53750 	 0.00000000000000000000e+00 	 1.15851699636987837301e-03 	 3.61980756093951655956e-08 
0.54583 	 0.00000000000000000000e+00 	 1.27818357505417507826e-03 	 3.82724974804927633526e-08 
0.55417 	 0.00000000000000000000e+00 	 1.40970232177839633649e-03 	 3.59382557936457038322e-08 
0.56250 	 0.00000000000000000000e+00 	 1.55672754664645807132e-03 	 4.14558458432357293236e-08 
0.57083 	 0.00000000000000000000e+00 	 1.71802810580375673113e-03 	 5.74806579303602933926e-08 
0.57917 	 0.00000000000000000000e+00 	 1.89394483149339805904e-03 	 7.07097375610915795646e-08 
0.58750 	 0.00000000000000000000e+00 	 2.09061614602737986038e-03 	 6.51211166296771347473e-08 
0.59583 	 0.00000000000000000000e+00 	 2.30608591781058689871e-03 	 8.16847657686838830179e-08 
0.60417 	 0.00000000000000000000e+00 	 2.54571214697039971409e-03 	 9.92785739100138418432e-08 
0.61250 	 0.00000000000000000000e+00 	 2.81300398547523018353e-03 	 1.23192273907511966504e-07 
0.62083 	 0.00000000000000000000e+00 	 3.10749885846509001780e-03 	 1.31047841650320744154e-07 
0.62917 	 0.00000000000000000000e+00 	 3.42851962851791402728e-03 	 1.97128512605280527131e-07 
