name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,0.9863776099163961,1.8115729220469547e-141,3.0,0.4652088184521418,16134.5,0.9475059678551917,None,None,None,None,None,None,2.712595899281558e-09,5.208258729442651e-05,0.5525042334660909,3.593833111221432e-52,0.5525042334660909,3.593833111221432e-52,0.011111111111111112,1.0,6.383662555136765e-05,0.9936295940120857,0.9884416733949426,8.839102555702204e-148,-0.0712359607555177,0.9432497392866812,-0.6624021461518519,0.5085654893332177
mc456_my_100mln_cube,-0.030848815699314584,0.6810030461766565,1677.0,2.4774920552960054e-20,24545.0,2.860887381587055e-17,None,None,None,None,None,None,0.06394332035850772,0.25287016502250265,0.535423725313437,9.343325718551316e-49,0.5525042334660909,3.593833111221432e-52,0.7555555555555555,1.4766027310577113e-50,119.36252761500509,3.5756160726202306e-24,-0.015631347613600556,0.835019544323657,9.375349266512943,8.02767180322833e-19,9.375106014170754,3.051870252098669e-17
mc456_my_1mln_cube,0.023115006080459605,0.7580815837731643,1746.0,6.193915250486029e-20,24365.0,1.34198338413349e-16,None,None,None,None,None,None,0.06373765902753473,0.2524631835090707,0.5352761597321889,9.98516353128328e-49,0.5525042334660909,3.593833111221432e-52,0.75,1.0369032511427484e-49,120.94441019164896,1.9682100080826215e-24,0.018994175998838604,0.8002055526043923,9.33015080861871,1.131801636717645e-18,9.330445873520354,4.052931362504506e-17
mati_my_100mln_cub,0.021803254232417028,0.77142000187815,4152.0,1.1706170456237052e-08,19980.0,0.00012906292380712882,None,None,None,None,None,None,0.05538023782895765,0.23533006146465363,0.5185109546930925,1.6102307806181782e-45,0.5525042334660909,3.593833111221432e-52,0.6166666666666667,2.68744442176205e-32,109.73017533706611,1.417640470404172e-22,0.022117126551353068,0.7682221540264036,6.713218435026564,7.478652100025786e-11,6.713461727760635,2.426593752525435e-10
mati_my_1mln_cube,0.0033432239399320547,0.964472618559678,4095.0,7.2350810278101126e-09,19800.0,0.0002664387466840954,None,None,None,None,None,None,0.05647918842273431,0.23765350496623086,0.5185556080226947,1.5795326449284052e-45,0.5525042334660909,3.593833111221432e-52,0.6111111111111112,1.1172090381896521e-31,115.53294306353172,1.530144368173241e-23,0.017735432840926088,0.8131947014730354,6.80996629019697,4.136471315347054e-11,6.810160482556712,1.425949913405303e-10
p_my_10mln_cube,0.015429037641234364,0.8371249631214265,1688.0,2.8690203542273775e-20,24559.0,2.533352122490558e-17,None,None,None,None,None,None,0.06341485288758177,0.251823058689195,0.5354551764026911,9.211925069030668e-49,0.5525042334660909,3.593833111221432e-52,0.7555555555555555,1.4766027310577113e-50,118.98672386245576,4.121711155203861e-24,0.010983218111655233,0.883658389322681,9.343666394916925,1.0214225587522465e-18,9.34383674355147,3.7226138318890586e-17
mc456_my_10mln_cube,0.004426080747680474,0.9529770441876189,1721.0,4.4489897730390186e-20,24435.0,7.385835482309567e-17,None,None,None,None,None,None,0.06310207242433401,0.2512012588032433,0.5354555437882261,9.210401063351945e-49,0.5525042334660909,3.593833111221432e-52,0.75,1.0369032511427484e-49,117.28668492362443,7.851303941758459e-24,0.008687563989858755,0.9078537927695226,9.261088959736032,1.9093893605678626e-18,9.261221929256608,6.285759315612785e-17
mc456_org_100mln_cube,0.030081299140093377,0.6885216813250357,3482.0,2.7190077262393718e-11,5940.0,2.7019428444582987e-25,None,None,None,None,None,None,0.02969098163553179,0.17231071248048332,0.5000228240621755,3.853526236795157e-42,0.5525042334660909,3.593833111221432e-52,0.8166666666666667,1.1721768332619045e-60,42.19212932087946,2.77019349024708e-10,0.03051889751598037,0.6842311462095565,-4.302944642942939,2.177549436860697e-05,-4.303218424938391,2.7656910771650918e-05
mc456_org_1mln_cube,0.03875341318523487,0.6055028218725289,3639.0,1.220465050767751e-10,5940.0,2.7019428444582987e-25,None,None,None,None,None,None,0.03150151756230142,0.17748666868895088,0.5000220495012982,3.854752428745336e-42,0.5525042334660909,3.593833111221432e-52,0.8166666666666667,1.1721768332619045e-60,42.610930619508494,2.2875569574397288e-10,0.03578100515178899,0.6334611708589211,-3.860090656698918,0.00013445712178516568,-3.860367366063567,0.00015796172361494547
mati_org_10mln_cube,0.028535977595924134,0.7037520120230989,2476.0,5.582587177347043e-16,4320.0,2.3922286900609538e-33,None,None,None,None,None,None,0.022628162451281176,0.15042660154135362,0.5000041948000268,3.883125569470617e-42,0.5525042334660909,3.593833111221432e-52,0.8666666666666667,3.348486920077337e-70,34.141536366985335,1.1527207789037069e-08,0.009038457055814787,0.904149440727827,-7.784436548091143,7.602959673348128e-14,-7.784622895568144,5.405178276839217e-13
mati_org_1mln_cube,0.0076113773527057525,0.9192270736984733,2440.0,3.6536600645552483e-16,4140.0,2.5845044311282393e-34,None,None,None,None,None,None,0.02263946238453329,0.15046415647765846,0.5000040868669651,3.883297716771083e-42,0.5525042334660909,3.593833111221432e-52,0.8722222222222222,2.3846791122212487e-71,32.9643753867966,2.0045038082915854e-08,0.01786266690840006,0.8118793740509054,-7.95786693222983,2.3319853556125557e-14,-7.958248998618045,1.9278092031474767e-13
